#code,NPTGCode,lines,lon,lat,name
HNE,9400ZZLUHWE1,P,-0.35669531824492,51.47317061583320,Hounslow East
HNW,9400ZZLUHWT1,P,-0.38573186840753,51.47303479896570,Hounslow West
HPC,9400ZZLUHPC1,P,-0.15274881198177,51.50276041121250,Hyde Park Corner
ICK,9400ZZLUICK1,MP,-0.44202655568901,51.56198474255920,Ickenham
KEN,9400ZZLUKNG1,N,-0.10548515252628,51.48811953061150,Kennington
KGN,9400ZZLUKSL1,B,-0.22471696470316,51.53045766611690,Kensal Green
OLY,9400ZZLUKOY1,D,-0.21038252311747,51.49780916738490,Kensington (Olympia)
KTN,9400ZZLUKSH1,N,-0.14046419295327,51.55030376223780,Kentish Town
KNT,9400ZZLUKEN1,B,-0.31716440585798,51.58178846260140,Kenton
KEW,9400ZZLUKWG1,D,-0.28525232821469,51.47702993015280,Kew Gardens
KIL,9400ZZLUKBN1,J,-0.20463334125466,51.54687950245680,Kilburn
KPK,9400ZZLUKPK1,B,-0.19396594736853,51.53506908435700,Kilburn Park
KXX,9400ZZLUKSX1,MNPHV,-0.12385794814245,51.53039723791750,Kings Cross St. Pancras,King's Cross
KBY,9400ZZLUKBY1,J,-0.27879905743407,51.58475686619030,Kingsbury
KNB,9400ZZLUKNB1,P,-0.16050709132883,51.50155143320110,Knightsbridge
LAM,9400ZZLULBN1,B,-0.11176027027770,51.49905814869850,Lambeth North
LAN,9400ZZLULGT1,C,-0.17542865925782,51.51182153458860,Lancaster Gate
LBG,9400ZZLULAD1,H,-0.21086191784859,51.51718844988170,Ladbroke Grove
LSQ,9400ZZLULSQ1,PN,-0.12823553217276,51.51122102836720,Leicester Square
LEY,9400ZZLULYN1,C,-0.00561987978131,51.55643292705490,Leyton
LYS,9400ZZLULYS1,C,0.00821504748634,51.56818526367450,Leytonstone
LST,9400ZZLULVT1,MCH,-0.08296570945694,51.51735123075170,Liverpool Street
LON,9400ZZLULNB1,NJ,-0.08692240419194,51.50549935324970,London Bridge
LTN,9400ZZLULGN1,C,0.05531199715457,51.64151275908050,Loughton
MDV,9400ZZLUMVL1,B,-0.18562590222991,51.52976001681030,Maida Vale
MNR,9400ZZLUMRH1,P,-0.09571246670488,51.57075600528430,Manor House
MAN,9400ZZLUMSH1,DH,-0.09418713531293,51.51202120095600,Mansion House
MAR,9400ZZLUMBA1,C,-0.15843804662659,51.51354329318110,Marble Arch
MYB,9400ZZLUMYB1,B,-0.16310448714212,51.52222334197040,Marylebone
MLE,9400ZZLUMED1,DHC,-0.03340417038111,51.52509187183440,Mile End
MHE,9400ZZLUMHL1,N,-0.20989441994604,51.60825889523920,Mill Hill East
MON,9400ZZLUMMT1,DH,-0.08894273274156,51.51334781918420,Monument
MPK,9400ZZLUMPK1,M,-0.43266684860392,51.62973109047760,Moor Park
MGT,9400ZZLUMGT1,MNH,-0.08900631501309,51.51836724988460,Moorgate
MOR,9400ZZLUMDN2,N,-0.19479070083452,51.40233694076680,Morden
MCR,9400ZZLUMTC1,N,-0.13884252998990,51.53420661060250,Mornington Crescent
NEA,9400ZZLUNDN1,J,-0.24978287282243,51.55396571746170,Neasden
NEP,9400ZZLUNBP1,C,0.09033731368127,51.57557249361060,Newbury Park
NAC,9400ZZLUNAN1,C,-0.25973738573780,51.52336555636410,North Acton Junction
NEL,9400ZZLUNEN1,P,-0.28900497976256,51.51755516035860,North Ealing
NGW,9400ZZLUNGW1,J,0.00360741693833,51.50018182399260,North Greenwich
